Date,P1,P2,P3,P4,P5,LowMinusHigh
2010-09-01,5.435640204972257,9.084872053197165,10.28987628468038,11.893669320851584,14.20685402321548,-8.771213818243222
2010-10-01,2.65496885544758,2.557182480785586,4.26604745692085,3.371290388822882,3.348756023614952,-0.693787168167372
2010-11-01,-1.61828733187086,0.41861336375847524,1.0431749242482489,2.2928955103223703,1.4056510735988355,-3.0239384054696954
2010-12-01,4.299038605914947,5.320942572022639,7.110567821827916,7.9924557339797255,11.326171921962771,-7.027133316047824
2011-01-01,0.17259150064727224,1.8698335760092857,2.6627717881710518,2.5345917243650233,3.054102367581143,-2.881510866933871
2011-02-01,2.1909045478782976,4.202381841013031,5.11085456342551,3.5062846800003333,4.465268923275608,-2.2743643753973104
2011-03-01,1.3313115655737082,1.7654575040506226,1.0492949178611106,0.18889637826273245,0.7323246635158286,0.5989869020578796
2011-04-01,3.876870751772755,3.7899216568620617,3.7314020493075595,1.8894003548307998,1.6287526402706771,2.2481181115020776
2011-05-01,1.649692127256053,0.4604499536621526,-1.009144680227795,-1.807464890128384,-2.0617244123291285,3.7114165395851817
2011-06-01,-1.392865369274831,-0.9092115730573587,-1.5672426962055876,-2.177956851089382,-3.076444127346934,1.6835787580721029
2011-07-01,-2.057954650920003,-3.304203475346893,-4.610197021851144,-3.524862425709417,-4.073516546927952,2.0155618960079495
2011-08-01,-0.34274493740527023,-5.027058428742261,-6.843098063116804,-8.427235686844408,-11.607454775262518,11.264709837857248
2011-09-01,-3.306900201564862,-6.705597633376021,-8.555877733096956,-11.48699187813298,-14.21348798214839,10.906587780583529
2011-10-01,6.008337429801752,9.709229864736162,11.46494500091887,17.447182593529508,21.459953232872586,-15.451615803070833
2011-11-01,0.3486118923558963,0.8649353509149165,-0.40269266738825926,-0.8655387927054435,-1.796380101853915,2.1449919942098115
2011-12-01,3.2412291807798344,1.1232985549922867,0.20647872654702218,-0.3665174622179781,-1.6861787714323504,4.927407952212185
2012-01-01,-0.25983334127852115,4.532809448332112,5.702125754046501,7.391828979701826,10.042711041104852,-10.302544382383372
2012-02-01,2.322549716330544,4.616773341910311,3.036527038224828,6.647550196304525,4.266176287696769,-1.943626571366225
2012-03-01,2.787240170409828,3.33739801798498,3.5238185266586743,2.3507819347434773,0.0249138416496262,2.762326328760202
2012-04-01,0.7505099774110731,0.018077477053158913,0.0032985206551318313,-0.35403835685593266,-3.6034551337764915,4.353965111187565
2012-05-01,-2.16898970234942,-3.920608980859092,-6.289711425798136,-8.877183846139081,-13.079995005008662,10.911005302659243
2012-06-01,4.237702977934914,3.6469953581059427,3.609542853598248,3.254342735433165,4.426545235687977,-0.18884225775306263
2012-07-01,1.9309366612297294,0.059681627670255255,-0.4277223072695699,1.185080501702099,-0.7301208295092746,2.661057490739004
2012-08-01,-0.5962583996610524,1.6450865399164845,2.8005570166546523,4.607489446467633,5.711537058539929,-6.307795458200982
2012-09-01,1.889382788400142,2.0195694666324657,1.949199110560647,2.957180119304135,3.892955371746284,-2.003572583346142
2012-10-01,-0.20900768894379657,-0.5769971808072138,0.036102450888538314,-1.326748317816433,-1.0088255728635156,0.799817883919719
2012-11-01,0.3764461289960396,0.9104455516247185,1.2062793930624187,1.2020757576996295,2.9770854909528035,-2.600639361956764
2012-12-01,0.47011529654586076,0.5625933344084825,2.045659617577467,2.5802099898524937,5.359512237970435,-4.889396941424574
2013-01-01,5.2769410426142445,4.801650755364193,6.801147249124386,8.038652855563635,7.891149673932961,-2.614208631318717
2013-02-01,2.953053379456554,1.5688107805998313,1.476611632357387,0.8515311516919027,-0.11991724054432656,3.0729706200008806
2013-03-01,4.605323033292209,4.603409528181667,4.502518976002466,3.801824330632403,4.348641135300826,0.25668189799138297
2013-04-01,2.8430118769379016,2.4774745397937354,0.9569823772040195,0.96879683212737,0.6905571404795261,2.1524547364583757
2013-05-01,-1.35119586098506,1.8677240219112121,2.4256720053280105,4.173768508762222,7.563701319908532,-8.914897180893592
2013-06-01,0.10238713352961071,-0.10922406992012944,-0.409062889369247,-1.8750253045370255,-1.4780923277877,1.5804794613173108
2013-07-01,4.973446215497682,4.573578312403973,4.842550558192221,5.642014617393733,7.446111148964691,-2.4726649334670094
2013-08-01,-3.451829836659518,-3.3439382849251253,-2.4770641767333426,-1.9374972818587841,-2.666009335462775,-0.785820501196743
2013-09-01,3.920104912138055,3.249402192091179,2.999588649741537,5.06230457766876,5.245744986501328,-1.3256400743632728
2013-10-01,3.839456564593965,4.556525849901714,4.394926186881032,4.607282501635106,3.506384998001288,0.3330715665926771
2013-11-01,2.6513401773505767,1.5396985496639066,1.893667498957351,2.7270811927259686,2.735107861014996,-0.08376768366441922
2013-12-01,2.480380665403851,2.425135547339949,3.353909657419113,2.419619551235118,3.4562314266106777,-0.9758507612068268
2014-01-01,-3.154718562442589,-3.3116838092580227,-2.6448839915808975,-2.85259783750638,-2.490317265759941,-0.664401296682648
2014-02-01,4.382935572700824,4.731897249011772,5.825880991914075,5.58356893824244,6.476067593592661,-2.0931320208918365
2014-03-01,1.9216855256265082,0.905053284748672,0.9713172766577058,0.5371019451941865,-0.31235323689155237,2.2340387625180607
2014-04-01,0.40683284592775,1.0935450043350519,0.16501917434266833,-0.25733216212518334,-0.2846801099049535,0.6915129558327036
2014-05-01,1.9264337753065766,2.3502267754303423,2.330841093413478,2.409358303118384,2.3102448104755395,-0.383811035168963
2014-06-01,1.902912035923491,2.470734444724256,2.476940782864117,2.799250142562053,4.024222247913283,-2.1213102119897917
