month,P4,P5_HighVol,P2,P1_LowVol,P3,LS_Portfolio
"(2023, 8)",-0.037805624409498084,-0.016084248984266525,0.01608873333007077,-0.0066408266359105905,-0.021636623205949945,0.009443422348355934
"(2023, 9)",-0.028993016165060004,-0.05851090790727964,-0.03848528256802197,-0.04353560284744551,-0.06273998183192842,0.014975305059834132
"(2023, 10)",0.009872263828460959,-0.015999532549993423,0.00104193786033413,-0.017219626876246452,-0.06193790074937533,-0.0012200943262530295
"(2023, 11)",0.08073139259575468,0.15535039726966327,0.05624902462361825,0.025156478602321952,0.062380462797665404,-0.1301939186673413
"(2023, 12)",0.039506071214121086,0.055481964803051786,0.045783877428687614,0.012691739602665786,0.04408320717904646,-0.042790225200386
"(2024, 1)",0.024780167479887982,0.01674007632120178,0.013471722042966983,0.03885328065313143,0.010045387628506264,0.022113204331929648
"(2024, 2)",0.05421294353637984,0.0841440859626772,0.028737863470917224,0.031408561450154915,0.0085635346331705,-0.05273552451252228
"(2024, 3)",0.05067958058588262,0.006943105797688753,0.005779730575151909,0.016072111573115055,0.04219758237497717,0.009129005775426302
"(2024, 4)",-0.015163626602274438,-0.0718738114824975,-0.06349808761308107,-0.02362742242650262,-0.038305114905767934,0.048246389055994876
"(2024, 5)",0.024246609254765517,0.07920766621772413,0.023305573252954126,0.03140347995182058,0.010601122067328772,-0.04780418626590355
"(2024, 6)",-0.023336626814975725,0.09845915645779502,0.017681825048742272,-0.0050622640227622195,0.0044420760793375536,-0.10352142048055724
"(2024, 7)",-0.010114463606976098,-0.013375527863630166,0.016130547831670228,0.04991084726635653,0.07927312452600543,0.0632863751299867
"(2024, 8)",0.010677179618393762,-0.007750275819612185,0.029219887839153635,0.06203873419538275,0.025185010973948208,0.06978901001499493
"(2024, 9)",0.011084650875146318,0.047301807558091546,0.006025195159113039,-0.0039180267368709165,0.017669855014404767,-0.05121983429496246
"(2024, 10)",0.007788630023621845,-0.01992655504873231,-0.006057606537818505,-0.010128544753053137,-0.006753969935842541,0.009798010295679171
"(2024, 11)",0.06538045305072426,0.06129537473038549,0.04007127672951394,0.036853835614367725,0.05169891821637629,-0.024441539116017763
