Metric,Short_Period,Long_Period,Difference
Annual Return %,-19.63383012382278,-8.183602717435168,-11.450227406387611
Volatility %,26.665967896833205,31.328456932379762,-4.662489035546557
T-Statistic,-1.6187174589351716,-1.301736380229798,-0.3169810787053735
P-Value,0.23243214065417073,0.32725417249034794,-0.09482203183617721
Sharpe,-0.2125480153405318,-0.0754075638332635,-0.1371404515072683
Months,58.0,298.0,-240.0
